2020‐03‐04 18:59:07,77.0*F
2020‐03‐04 18:59:10,73.4*F
2020‐03‐04 18:59:13,73.4*F
2020‐03‐04 18:59:18,73.4*F
2020‐03‐04 18:59:22,73.4*F
2020‐03‐04 18:59:30,73.4*F
2020‐03‐04 18:59:32,73.4*F
2020‐03‐04 18:59:37,73.4*F
2020‐03‐04 18:59:47,73.4*F
2020‐03‐04 18:59:53,73.4*F
2020‐03‐04 18:59:55,73.4*F
2020‐03‐04 18:59:57,73.4*F
mock datamock datamock datamock datamock datamock datamock datamock data
mock data
mock data
mock data
mock data
mock data
mock data
mock data
mock data
2020‐04‐01 12:48:02,mock data
2020‐04‐01 12:49:02,mock data
2020‐04‐01 12:50:02,mock data
2020‐04‐01 12:51:02,mock data
2020‐04‐01 12:52:02,mock data
2020‐04‐01 12:53:02,mock data
2020‐04‐01 12:54:02,mock data
